Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company,State,ZIP code,Complaint ID,UserId,Resolved,Resolved Date,Feedback Text,Feedback Score,Complaint Length,Feedback Length,Sentiment_Complaint_Label,Sentiment_Complaint_Score,Sentiment_Feedback_Label,Sentiment_Feedback_Score,Aggressiveness_Score,Complaint_Keywords,normalize sentiment,Risk Score,EscalationRisk,Escalation_label,nrc_emotions,Rating,userId
08-04-2025,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,"I am sending a debt validation letter to the company 's attorney by way of certified mail as well as an email copy. They have sent me a subpoena by way of XXXX XXXX XXXX XXXX XXXX in XX/XX/year> to inform me that I as being sued for such debt. XXXX XXXX XXXX XXXX XXXX filed this action on or about XX/XX/year> ( Case No : XXXX ), alleging credit was extended to the Defendant in the form of the original creditor. They Further stated that It I used the card, but failed to make payments as agreed, and the card was charged off and sold to XXXX XXXX XXXX XXXX XXXX. Despite requests for repayments, the account is still delinquent in the amounts of {$2300.00}.","CITIBANK, N.A.",MD,20746,18317555,1599,Yes,23-07-2025,Resolution was acceptable but could be improved.,4.0,126,7.0,neutral,-0.225008518,neutral,0.093536153,0.326,"['sued debt', 'alleging credit', 'debt validation', 'sending debt', 'sent subpoena']",0.387495741,0.612504259,0.512227768,Medium,"{'negative': 5, 'sadness': 2, 'anticipation': 2, 'anger': 2, 'fear': 1, 'positive': 4, 'trust': 5, 'disgust': 1}",,
01-02-2025,Debt collection,Rental debt,Written notification about debt,Didn't receive notice of right to dispute,"I am submitting this complaint because Fair Collections & Outsourcing ( FCO ) continues to violate the Fair Debt Collection Practices Act ( FDCPA ) and the Fair Credit Reporting Act ( FCRA ). They have not provided the legally required validation of the alleged debt, they have not provided proof of the initial notice, and they continue reporting an unverified debt to the credit bureaus. Their previous CFPB response was incomplete, unsupported, and did not resolve the violations. 



Failure to Provide the Required Initial Written Notice FCO claimed they mailed the initial written notice on XX/XX/year> and emailed a copy on XX/XX/year>. However, they did not provide any proof to support these statements. They offered : No copy of the alleged letter No proof of mailing No address used No postal confirmation No tracking information Under FDCPA 1692g ( a ), a collector must be able to produce this notice upon request. FCO did not. Their unsupported statements do not meet the legal standard required to show compliance. 



Their Email Claim Is Unsupported and Legally Insufficient FCO also claimed they emailed the notice and that it was confirmed open. This statement is problematic for several reasons. 

First, email is not a legally acceptable method of delivering the FDCPA initial notice unless the consumer has explicitly consented to electronic communication, which I did not. Therefore, the emailif it was even sentwould not satisfy 1692g ( a ) requirements.

Second, FCO provided no evidence of the email they claim to have sent. They did not provide : A copy of the email The sender or recipient email address The email header or metadata A timestamp A delivery confirmation A read receipt A screenshot showing it was opened Without proof, their statement is unverifiable and insufficient. The FDCPA requires documented proof of the required notice, not unsupported assertions. Their inability to produce any evidence strongly indicates the notice may have never been emailed or opened.

Even if the email existed, which is not supported by evidence, it still would not fulfill their legal obligations under the FDCPA.

Failure to Validate the Debt In response to my dispute, FCO provided only an itemized list of charges. This does not satisfy the validation requirements under FDCPA 1692g ( b ). Proper validation requires documentation that the debt is legitimate and accurate, including : The lease agreement The final move-out statement A full rent ledger Proof of each charge Move-out inspection notes Photos or evidence of alleged damage Proof that the apartment sent a final bill Proof charges comply with state law None of this was provided. An itemized statement alone is not validation. Because FCO failed to validate the debt, they were legally required to cease all collection activity, including furnishing it to the credit bureaus, yet they continue to report the account. 



Failure to Provide Required Documentation from the Apartment The apartment was required to provide or request a forwarding address, send a final bill, and provide proof of mailing. No such documentation has been provided by FCO or the creditor. Without these documents, the legitimacy of the charges remains unverified.

Continued Reporting of Unverified Information Despite the debt being disputed and unvalidated, FCO continues to furnish the account to the credit bureaus. This violates : FDCPA 1692g ( b ) collection must stop until validation is provided FCRA 1681s-2 ( b ) furnishers must investigate and remove unverified information An itemized list does not qualify as verification under federal law.

Pattern of Consumer Complaints Regarding FCO My experience wit
h FCO mirrors a well-documented pattern of consumer complaints found in public records such as the CFPB complaint database and XXXX  listings. Many consumers report similar issues, including : Failure to send or prove the initial notice Failure to validate debts when requested Reporting unverified information to credit bureaus Incomplete dispute investigations Failure to respond to consumers with supporting documentation I am not asserting that FCO has been found legally liable for all allegations made by other consumers, but these publicly reported patterns indicate concerns regarding their compliance practices. My experience aligns closely with these documented issues. 



Requested CFPB Intervention I respectfully request that the CFPB require FCO and the apartment complex to produce the appropriate documentation, including : From FCO : A copy of the initial 1692g ( a ) notice, proof of mailing, proof of any email sent, a full validation package, documentation authorizing collection activity, and documentation supporting their furnishing of the debt. 

From the Apartment Complex : Any forwarding address recorded, a final move-out statement, proof of mailing, the lease agreement, inspection notes, photos, and a full rent ledger. 

If neither party can produce these documents, I request : Immediate deletion of this account from all credit bureaus A stop to all collection activity Written confirmation of compliance","FAIR COLLECTIONS & OUTSOURCING, INC.",NC,27591,18113498,1717,Yes,18-02-2026,,,799,,negative,-0.687813699,positive,0.175723404,0.244,"['submitting complaint', 'dispute fco', 'cfpb complaint', 'fco creditor', 'debt disputed']",0.156093151,0.84390685,0.633939452,Medium,"{'anger': 6, 'negative': 23, 'sadness': 9, 'trust': 52, 'anticipation': 10, 'positive': 51, 'joy': 3, 'disgust': 2, 'fear': 2}",,
31-01-2025,Debt collection,Medical debt,False statements or representation,Attempted to collect wrong amount,"I had an appointment with XXXX XXXX XXXX XXXX in XXXX XXXX, MI in XXXX of XXXX. I was told when I left I did not have to pay anything at the time. I waited for a bill and did not receive XXXX until months later due to traveling. I did not see any way to pay through the patient portal. I did however find that I could pay through their website which utilizes XXXX. The total bill amount was XXXX. I paid it in XXXX. I have a receipt in my email as confirmation of this payment. Since then I have not received any notification about this. Today, XX/XX/year>, I got a letter in the mail from Merchant 's Credit Guide Company about this going to debt collection. They are saying I have yet to pay for the XXXX bill. I have the evidence that I did pay this. XXXX requires you to put in the amount and what it is for when paying. It does not pull up a specific bill. This has to be an issue on there end.",Merchants' Credit Guide Company,MI,48322,18059211,1681,Yes,19-02-2026,,,182,,neutral,-0.260544628,positive,0.175723404,0.197,"['payment received', 'pay patient', 'confirmation payment', 'payment', 'debt collection']",0.369727686,0.630272314,0.478627004,Low,"{'anticipation': 10, 'joy': 5, 'positive': 9, 'trust': 6, 'negative': 2, 'sadness': 1}",,
20-04-2025,Credit card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,"XXXX XXXX  What happened ( summary ) : XXXX XXXX  Citibank failed to properly reallocate reversed payments back to their original 0 % promotional balance transfer categories on XXXX credit card accounts. As a result, balances that should be interest-free under active promotional terms were treated as regular balances and have been charged interest improperly. Despite repeated attempts to resolve this through XXXX customer service and written disputes, the errors remain uncorrected and interest continues to accrue. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX  I have multiple Citi credit cards with active 0 % promotional balance transfer APR agreements. In XXXX separate situations, payments were reversed, but Citi did not reapply those amounts back to the promotional balance transfer buckets. Instead, Citi moved those balances into interest-bearing categories, causing ongoing and escalating interest charges. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX A {$900.00} payment was made accidentally and reversed by Citi at my request. When the {$900.00} was returned to my account, Citi failed to reallocate it back to the original 0 % promotional balance transfer. Since the reversal, Citi has been charging interest on this amount every billing cycle. This interest should never have been charged. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX An old autopay from a dormant bank account was mistakenly used to pay approximately {$4000.00}. That payment was reversed. However, Citi did not reallocate the reversed amount back to the original 0 % promotional balance transfer. As of the most recent statement, the XXXX XXXX entire affected balance is now being charged interest XXXX XXXX  even though it originated from a 0 % promotional balance transfer and remains within the promotional period. 

In both cases, the balances originated from promotional balance transfers and should have remained under 0 % APR. Citis failure to properly reallocate reversed payments has resulted in incorrect interest charges and ongoing financial harm. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Contacted Citi multiple times via online chat and phone * Submitted formal written mail today to Billing Errors Department * Mailed a certified billing dispute letter under the Fair Credit Billing Act Citis online chat representatives have stated they can not resolve the issue, and the incorrect interest charges continue to appear on new statements. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. Reallocate all misapplied balances back to their original 0 % promotional balance transfer categories XXXX. Reverse and credit XXXX XXXX XXXX XXXX XXXX XXXX XXXX  that resulted from these billing errors, including interest charged on the most recent statements, since XXXX. 
XXXX. Provide written confirmation that my promotional APR terms remain intact and unchanged","CITIBANK, N.A.",FL,342XX,18317573,1970,Yes,19-02-2026,,,451,,negative,-0.53187567,positive,0.175723404,0.317,"['citibank failed', 'misapplied balances', 'payments reversed', 'citi credit', 'citi failed']",0.234062165,0.765937835,0.608809593,Medium,"{'positive': 28, 'trust': 13, 'anticipation': 7, 'negative': 9, 'surprise': 2, 'anger': 2, 'disgust': 3, 'joy': 1, 'fear': 3, 'sadness': 1}",,
06-02-2025,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu","I submitted my mortgage recast request to Newrez in XX/XX/year> and was told that I would receive an agreement to sign very soon and that my monthly payment would be adjusted by XXXX. I called Newrez immediately after making the recast payment and was told that the payment had been received and properly applied as a recast. 

After waiting XXXX weeks without receiving the agreement, I called again and was informed that my payment had not been recognized as a recast and that a change request needed to be submitted. Over the following month, I made more than XXXX phone calls and received inconsistent and incorrect information from different representatives, yet still did not receive the agreement. 

Eventually, a representative emailed me the agreement and instructed me to mail it back, which I did. XXXX week after mailing it, XXXX representative told me it had been received and my monthly payment will be revised soon. However, just the second day, on XX/XX/XXXX, Newrez sent me the agreement through XXXX. I called asking the reason and was told they did not recevie my agreement and this case need to be completed by XX/XX/XXXX thus they send a XXXX. I do not know what to say, but still signed and confirmed receipt of my signature. I was promised that my monthly payment would be adjusted by XX/XX/XXXX, or at the latest by XX/XX/XXXX. 

However, as of XX/XX/XXXX, no changes had been made to my monthly payment, despite my speaking with a manager.They paused my automatic payment in XXXX and told me that I have 16 days grey period to pay XXXX payment while waiting my recast. 

Here is the website of this compnay : XXXX XXXX XXXX","Shellpoint Partners, LLC",VA,24060,18393914,1436,Yes,26-02-2025,I am satisfied with the resolution provided.,4.0,285,7.0,neutral,0.033923853,positive,0.870885372,0.168,"['payment revised', 'mortgage recast', 'recast payment', 'submitted mortgage', 'recevie agreement']",0.516961927,0.483038074,0.372774748,Low,"{'fear': 3, 'positive': 20, 'trust': 11, 'negative': 13, 'anticipation': 5, 'joy': 2, 'surprise': 1, 'sadness': 1}",,
26-04-2025,Mortgage,FHA mortgage,Trouble during payment process,"Escrow, taxes, or insurance","In early XXXX, a very large tree fell on my home, along with other storm damage rendering it uninhabitable. My insurance company approved a major claim ( exceeding {$30000.00} ) and issued funds to XXXX Mortgage to endorse and send to me to get the repairs done. For nearly two years, XXXX has withheld these funds while my family has been displaced. 

Initial Out-of-Pocket Costs : I paid nearly {$18000.00} upfront to remove the tree after XXXX promised immediate reimbursement XXXX It took months and months of repeated document requests to be reimbursed. Each time I provided requested documentation, they demanded additional items, each time getting more absurd. At one point, they were requiring the contractor to submit their business bank statements before releasing any funds. 

Unauthorized Repairs and Additional Damage : XXXX hired unlicensed third-party contractors to attempt to perform work, however, most was not covered by the insurance scope. This work was substandard and ultimately caused additional damage to the property. The XXXX party appeared at odd hours in unmarked, damaged vehicles and would abruptly leave when neighbors approached. XXXX then filed a separate vandalism claim and a supplement claim, both of which were approved by the insurance company. However, none of these funds were released to me for repairs, put towards the house for repairs, and would never be explained as to what they did with the money. 

Contractor Coordination Failures : Multiple times, XXXX representatives confirmed funds would be released within days, allowing me to schedule contractors. Each time, they later contradicted this and refused to release funds without explanation or documentation of where the insurance money went. 

Current Financial Hardship : My wife, XXXX XXXX XXXX daughter ( who was a baby when this started ), and I have lived in temporary housing for nearly two years while paying for both rent and the mortgage. To this day, the property continues deteriorating and remains uninhabitable due to incomplete repairs. XXXX continues demanding mortgage payments while withholding the insurance funds needed to make the property habitable, while reminding me about foreclosure if payments arent made. 

Loss Draft Department Issues : Since XXXX, I have documented every interaction with XXXX. The Loss Draft department has been evasive, argumentative, and refuses to provide clear answers about fund disbursement or next steps. At this point, multiple representatives recently admitted no additional funds would be released, while some add they do not see any funds at all. This is the part that continues to baffle me as we are talking large sums of money going missing. 

Pattern of Behavior : I have talked to multiple council, with majority indicating this is a common practice by XXXX. Even my insurance company stated they are familiar with XXXX engaging in this behavior. 

I am requesting investigation into XXXX handling of insurance claim funds and their property preservation practices that have left my home uninhabitable for almost two years while holding large sums in approved insurance funds.",MIDFIRST BANK,AL,352XX,18392828,1301,Yes,17-07-2025,The resolution did not fully address my concerns.,1.0,494,8.0,negative,-0.71797204,negative,-0.839823663,0.138,"['unauthorized repairs', 'insurance claim', 'claim funds', 'handling insurance', 'reimbursement xxxx']",0.14101398,0.85898602,0.606640913,Medium,"{'anger': 10, 'anticipation': 13, 'disgust': 5, 'joy': 9, 'positive': 18, 'surprise': 6, 'trust': 14, 'negative': 13, 'sadness': 8, 'fear': 6}",,
27-08-2025,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,Paid via XXXX through Bank of America to my employee who I have paid many times. They put the transaction on hold. When I contacted them and gave them the reason from the transaction they still said they cant tell me when they will release the money. And its still on hold over 3 weeks now.,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91505,18386488,1387,Yes,21-02-2026,,,56,,negative,-0.809053779,positive,0.175723404,0.041,"['transaction hold', 'money hold', 'bank america', 'hold contacted', 'employee paid']",0.095473111,0.90452689,0.602292478,Medium,"{'trust': 3, 'positive': 2, 'anger': 1, 'anticipation': 1, 'joy': 1, 'surprise': 1}",,
02-12-2025,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,On XX/XX/year> I attempted to make a purchase with my debit card and found that it was declined. I then went into my account and attempted to pay my credit card bill with the same company and found that I could not complete transfers or access my funds at all. I immediately called the company and was put on hold for over two hours with the promise of speaking with a supervisor. It turns out that there never was a supervisor available and I was put on hold for no reason. It appears that they have frozen my account with no notifications or reasonings why. This leaves me an emergency situation as I now have no access to food or transportation.,LAKE MICHIGAN CREDIT UNION,MI,49519,18203775,1024,No,,,,121,,negative,-0.81166774,positive,0.175723404,0.122,"['frozen account', 'account attempted', 'attempted pay', 'company hold', 'card company']",0.09416613,0.90583387,0.631492016,Medium,"{'joy': 5, 'positive': 8, 'trust': 8, 'anticipation': 2, 'negative': 2, 'fear': 1, 'sadness': 1, 'surprise': 1}",,
09-11-2025,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Demand for Immediate Correction and Notice of Intent to Arbitrate XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX XX/XX/year> Continental Finance Company SURGE XXXX XXXX XXXXXXXX XXXX NY XXXX Continental finance company Attn : Correspondence / Dispute Resolution Department re account ending in surge XXXX XXXX RE : Formal Notice of Violations of the EFTA, FCBA, and FCRA 623 Demand for Immediate Correction and Notice of Intent to Arbitrate To Whom It May Concern : I am providing this written notice to formally dispute certain charges and reporting actions associated with my account with Celtic bank XXXX the balance is erroneous by far this is not my balance {$920.00}. This letter also serves as notice of your violations of Federal laws governing electronic transfers, billing errors, and credit reporting.

1. Violations of the Electronic Fund Transfer Act ( EFTA ) You have failed to properly investigate and resolve unauthorized electronic transactions as required under the Electronic Fund Transfer Act. I did not authorize the disputed charges, and your handling of these transactions is in violation of your obligations under the EFTA.

2. Violations of the Fair Credit Billing Act ( FCBA ) 15 United States Code 1666-1666j ) Billing Error? Incorrect charges, unauthorized charges, charges for goods/services not received, calculation errors, or failure to post payments.

The FCBA explicitly provides that a consumer is not obligated to pay more than {$50.00} for unauthorized charges and requires creditors to investigate billing errors promptly and fairly. Your failure to correct the disputed charges and your continued attempts to collect on amounts I do not owe constitute violations of the FCBA.

3. Violations of the Fair Credit Reporting Act ( FCRA ) Section 623 15 United States Code 1681s-2 ( a ) ( 1 ) ( A ) 15 United States Code 1681s-2 ( B ) Responsibilities of furnishers of information to consumer reporting agencies ( a ) Duty of furnishers of information to provide accurate information ( 1 ) Prohibition ( A ) Reporting information with actual knowledge of errors A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate. 

( B ) Reporting information after notice and confirmation of errors A person shall not furnish information relating to a consumer to any consumer reporting agency Continental Finance company, as a furnisher of information, is required under FCRA 623 to report accurate information and to correct any errors promptly after receiving notice of dispute. You have continued to furnish inaccurate or incomplete information to consumer reporting agencies despite my disputes. 
You are hereby notified once again to correct all inaccurate information immediately and provide written confirmation once completed. 

Demand for Correction I demand the following actions after receiving this notice : Removal of all unauthorized charges. 

Correction of all inaccurate or incomplete information furnished to credit reporting agencies. 

Written confirmation of the results of your investigation and of all corrections made. 

Notice of Intent to Initiate Arbitration If these issues are not corrected, I will have no choice but to proceed with binding arbitration, as permitted under the terms of the cardholder agreement. 
This letter serves as formal notice of my intent to initiate arbitration should you fail to remedy these violations promptly. 

statuatory violations are violation ( XXXX ) {$1000.00} failure to adhere to federal law Electronic Funds Transfer Act ( EFTA ) violation ( 2 ) {$1000.00} Failure to adhere to Federal Law Fair credit billing act FCBA violation ( 3 ) {$1000.00} Failure to correct errors on the consumer report /furnishing false information to consumer reporting agencies. ( FCRA ) {$1000.00} per violation per every month Continental Finance Reported false information =4 months {$4000.00} {$1000.00} per violation per every month Continental Finance on billing errors ( FCBA ) =4 months {$4000.00} {$1000.00} per violation per every month Continental Finance on Electronic Funds Transfer Act. failure Total {$9000.00} Please govern yourselves accordingly. 

Sincerely, cecili","Continental Finance Company, LLC",CA,90032,18132238,1087,No,,,,667,,neutral,-0.125449717,positive,0.175723404,0.362,"['efta violation', 'violations efta', 'efta violations', 'notice dispute', 'transactions violation']",0.437275142,0.562724859,0.492471158,Low,"{'trust': 22, 'surprise': 10, 'anticipation': 12, 'joy': 5, 'positive': 39, 'anger': 10, 'negative': 24, 'fear': 11, 'sadness': 11, 'disgust': 4}",,
24-03-2025,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I am filing a complaint regarding a denied credit card dispute for merchandise not received. 
I purchased a sofa sectional from XXXX XXXX XXXX  and I never received, accepted, or signed for the merchandise and have never had possession of it. 
This transaction does not qualify as a return or buyers remorse. This is a case of merchandise not received, as the merchant is in possession of both the merchandise and my funds. 
Despite this, the merchant responded to my card issuer stating the item was delivered, which is factually incorrect. No signed delivery confirmation or proof of acceptance exists. 
My credit card issuer denied both the initial dispute and the re-dispute, improperly accepting the merchants false delivery claim and failing to recognize this as a case of merchandise not received. 
I am requesting that the card issuer be required to properly investigate this dispute as non-delivery and reverse the charge, as I paid for merchandise I never received.","CITIBANK, N.A.",AZ,850XX,18290588,1295,Yes,09-07-2025,The resolution did not fully address my concerns.,1.0,159,8.0,negative,-0.829002798,negative,-0.839823663,0.224,"['dispute merchandise', 'card dispute', 'dispute dispute', 'complaint regarding', 'filing complaint']",0.085498601,0.914501399,0.672825909,Medium,"{'anger': 7, 'negative': 13, 'sadness': 6, 'positive': 11, 'trust': 7, 'disgust': 2, 'fear': 5, 'anticipation': 3}",,
16-08-2025,Vehicle loan or lease,Loan,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"I previously submitted a written dispute to HYUNDAI FINANCE dated XX/XX/year>, regarding an account that is being inaccurately reported on my credit file. 
Despite providing all the necessary identifying information and requesting verification under the Fair Credit Reporting Act ( FCRA ), HYUNDAI FINANCE has failed to respond, verify, or correct the information within the required thirty ( 30 ) days. Under 15 U.S.C. 1681s-2 ( b ), the furnisher of information is required to conduct a reasonable investigation once a dispute has been received. Since HYUNDAI FINANCE did not provide any documentation to substantiate the accuracy of the reported account, they are now in noncompliance with federal law and continue to furnish unverifiable and misleading data to the credit bureaus. 
This inaction has caused harm to my consumer credit profile and has obstructed my efforts to maintain accurate and fair reporting. I am therefore seeking the CFPBs intervention to ensure HYUNDAI FINANCEs immediate compliance with FCRA requirements. 

HYUNDAI CAPITAL AMERICA XXXX",HYUNDAI CAPITAL AMERICA,CA,92705,17905909,1212,No,,,,162,,negative,-0.724199772,positive,0.175723404,0.203,"['compliance fcra', 'credit reporting', 'dispute hyundai', 'reported credit', 'fcra requirements']",0.137900114,0.862099886,0.631414926,Medium,"{'anger': 4, 'negative': 7, 'trust': 13, 'positive': 15, 'anticipation': 4, 'joy': 1, 'fear': 2, 'sadness': 2, 'disgust': 1}",,
01-07-2025,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Foreclosure,"Since XXXX, XXXX I have asked EWB for a forbearance on my property. They gave me an extension until XXXX, XXXX and kept on leading me to believe that they were going to reduce my payments on the property thereafter. I have asked them repeatedly through their attorneys what amount to pay. They consistently said they would accept an amount less than what I was paying but did not give me an amount. Then XXXX day out of the blue they filed a foreclosure on me. 

I have asked so many times for an accounting on my loan but have not received the full accounting. I do not know what my payments are supposed to be in XXXX, XXXX, XXXX and XXXX, XXXX and now going into XXXX, XXXX. They have not mailed me a statement since XXXX, XXXX other than what they sent in the previous complaint, they included up to XXXX. Although they said they sent them to me they did not and per their conversations that I had with them on the phone the banker stated that they would not send accounting because the loan went to foreclosure. How would I know how much to pay if there is no accounting provided to me prior to the foreclosure date in XXXX, XXXX,",EAST WEST BANK,CA,91356,18150854,1055,Yes,03-08-2025,Customer service handled the complaint very well.,4.0,215,7.0,negative,-0.547940075,positive,0.881401181,0.175,"['filed foreclosure', 'foreclosure', 'foreclosure asked', 'foreclosure know', 'went foreclosure']",0.226029963,0.773970038,0.564330524,Medium,"{'positive': 7, 'trust': 5, 'anticipation': 2, 'joy': 2, 'sadness': 1, 'anger': 1, 'negative': 1}",,
27-12-2025,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,"A collection agency ( Ability Recovery Services ) is reporting two medical debts that do not belong to me and are being reported with false dates and misleading information. 

I contacted the original medical provider, XXXX XXXX XXXX XXXX, and they issued an official letter confirming : I was not seen on the dates Ability Recovery is claiming The charges were submitted to collections in error The provider has no record supporting the debts Despite this, Ability Recovery : Continues to report the accounts Reported them as new accounts opened in XXXX ( even though they are allegedly from XXXX and XXXX ) Added new derogatory marks in XXXX Ignored my dispute Told me the providers letter would not help Is misrepresenting the age and status of the debts This violates the FDCPA and FCRA : Illegal re-aging of debt Failure to verify debt False representation Reporting inaccurate information I am requesting : 1. Deletion of both accounts from all credit bureaus 2. Enforcement action against Ability Recovery for illegal reporting practices 3. Written confirmation from the bureaus and the collector The provider letter is attached.","Ability Recovery Services, LLC",LA,71106,18038945,1012,Yes,04-02-2026,Customer service handled the complaint very well.,5.0,186,7.0,negative,-0.81553334,positive,0.881401181,0.363,"['debts violates', 'debt false', 'recovery claiming', 'verify debt', 'credit bureaus']",0.09223333,0.90776667,0.717098336,Medium,"{'anticipation': 5, 'fear': 4, 'positive': 8, 'trust': 9, 'anger': 4, 'disgust': 3, 'negative': 8, 'sadness': 5}",,
20-02-2025,Credit card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"Received a balance transfer promotion from US Bank AAA Cashback card and called their customer service to inquire as to the process. With most banks you can send yourself the money ( and pay a fee ) electronically and I wanted to make sure. They assured me I could do that just put in my checking account number when it asked for the account. So I went and initiated the balance transfer. 

It is XXXX weeks later and the money has been pulled from the credit card account but NO MONEY HAS BEEN DEPOSITED ANYWHERE. I have called now SEVEN TIMES and each time sat on hold and spent way too much time on this. First they told me they SENT A CHECK to a bank but gave me an entirely wrong address of where the bank even is. Then they said they cancelled the check and initiated an electronic transfer to my checking account. However the money still didn't arrive so I called again. They said "" all we see is the check was sent '' and had no info on the electronic transfer. The next person told me THEY CAN NOT DO ELECTRONIC TRANSFERS AT ALL AND IT CANT GO TO MY BANK ACCOUNT, which is the polar opposite of what I was told and why I did this! 

Now, not only do I have fees associated with the balance transfer, but because this took so long and the money is so late, I had to move money around in different accounts- which cost even more than their fees in terms of taxes, lost interest, and wire fees. AND THEY STILL HAVE NO IDEA WHERE THE MONEY IS! THEY TOLD ME XXXX NOW THAT A SUPERVISOR WOULD CALL ME BACK AND NO ONE HAS!!! 

This is absolutely ABSURD to allow a company like this to handle other people 's money!!! And they charge fees and make money on top of this in the first place, leaving consumers with XXXX options for recourse!!! Please do something!!!",U.S. BANCORP,UT,84106,18071213,1751,No,,,,337,,neutral,-0.033365265,positive,0.175723404,0.443,"['check bank', 'transfers bank', 'bank aaa', 'banks send', 'checking account']",0.483317368,0.516682633,0.490893711,Low,"{'positive': 17, 'anger': 8, 'anticipation': 13, 'joy': 8, 'surprise': 7, 'trust': 18, 'negative': 5, 'sadness': 2}",,
31-01-2025,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,"I am submitting this statement to clarify the situation regarding the closure of my U.S. Bank credit card account.

I never signed, agreed to, or authorized any debt settlement or debt relief program with any third-party company. I only contacted the company for an initial consultation and did not make any decision, sign any contract, or give permission for them to act on my behalf.

Without my authorization, the company appears to have taken action that resulted in my credit card account being closed by the credit grantor. I was not notified in advance that any such action would occur.

As soon as I discovered that my account had been closed, I immediately contacted the company by email and formally requested cancellation of any enrollment and removal of all my information. The company has since confirmed in writing that my enrollment was successfully canceled and that no further action would be taken.

At all times, my account was in good standing, with a current payment status, a XXXX  past-due balance, and no late payments.

I respectfully request that this matter be reviewed and that my credit report accurately reflect that the account closure was not due to any delinquency, misconduct, or authorized action on my part.",U.S. BANCORP,GA,30075,18164631,1366,Yes,19-02-2025,I am satisfied with the resolution provided.,4.0,206,7.0,negative,-0.509867251,positive,0.870885432,0.114,"['account closed', 'closed credit', 'account closure', 'requested cancellation', 'closure bank']",0.245066375,0.754933626,0.530606857,Medium,"{'positive': 26, 'trust': 14, 'anticipation': 5, 'joy': 4, 'sadness': 5, 'negative': 8, 'fear': 1, 'surprise': 2, 'disgust': 1}",,
25-03-2025,"Payday loan, title loan, personal loan, or advance loan",Installment loan,Incorrect information on your report,Account status incorrect,"The said company of this complaint has out right lied and provided false documentation to reporting bureaus. Equifax as of the XXXX of XXXX, received the included document. I had not only made my payments but had paid of the loan in its entirety on the XXXX of XXXX. You will see the dates listed on included file attatchment Also said company has provided personal and private information to the credit bureaus. 
By providing amounts of payments and balances instead of reporting that the account is late or up to date. The company is directly violating statute law under which it is bound to uphold. For each transaction there is a remedy. 
Yes the credit reporting bureaus are also responsible for publishing personal and private information, but ultimately this company has supplied such information and in doing so has committed an unlawful act that directly damaged another. 

Also being as my name is copyrighted and said company has been made aware. So reporting anything with my name without my direct permission is a violation under copyright law. 

I am not including the possibly fraudulent activity whether it be securities fraud or verbal fraud out of this equation for the moment but would be more than happy to follow this route if need be.","Sunset Management, Inc",GA,31021,18045136,1903,Yes,18-07-2025,Resolution was acceptable but could be improved.,3.0,213,7.0,negative,-0.574396968,neutral,0.093536779,0.122,"['credit reporting', 'credit bureaus', 'bureaus equifax', 'equifax xxxx', 'equifax']",0.212801516,0.787198484,0.554379015,Medium,"{'anger': 6, 'negative': 8, 'positive': 16, 'trust': 14, 'anticipation': 4, 'joy': 3, 'sadness': 3, 'disgust': 2, 'fear': 2, 'surprise': 1}",,
